time,ins1000_lat,ins1000_lon,ins1000_alt,ins1000_roll,ins1000_pitch,ins1000_yaw,ins1000_ned_x,ins1000_ned_y,ins1000_ned_z,algo_pose_x,algo_pose_y,algo_pose_z,algo_roll,algo_pitch,algo_yaw,align_pose_x,align_pose_y,align_pose_z,align_roll,align_pitch,align_yaw,align_roll_by_manual,align_pitch_by_manual,align_yaw_by_manual,algo_lat,algo_lon,algo_alt
1570519679,31.50810773,120.4017541,722.3622698,-0.167786849,-1.096492717,-22.4654348,45.76397347,0.849249133,-0.055135109,53.16510793,-1.397616973,-0.660889985,1.154175749,5.826433908,16.63090111,48.13211398,3.889920022,0.037163148,-0.167786849,1.096492717,28.23282849,0.982713151,5.923868777,22.67513788,31.5081481,120.4018148,11.90958407
1570519679,31.50811312,120.4017512,719.6808273,0.025183368,-1.029011887,-25.92418203,46.36160801,0.573765597,-0.008330806,53.74143196,-1.078156911,-0.658716037,0.933101342,5.773129042,19.80097735,48.69903995,4.224065434,-0.009641155,0.025183368,1.029011887,31.69157572,1.175683368,5.856387947,26.13388511,31.50815356,120.4018121,11.91176257
1570519680,31.50811807,120.401748,719.5834245,-0.110911034,-1.024030938,-29.34730774,46.91045635,0.269783809,-0.006626799,54.29843514,-0.739376895,-0.66555607,1.153122154,5.723809526,23.11099673,49.21456289,4.581662312,-0.011345162,-0.110911034,1.024030938,35.11470143,1.039588966,5.851406998,29.55701082,31.50815887,120.4018091,11.904927
1570519680,31.50812276,120.4017445,720.0016837,-0.353238213,-0.988563963,-32.91248643,47.43047637,-0.067445947,-0.013922941,54.85433759,-0.358771653,-0.678035098,1.10038187,5.684189567,26.51609343,49.69806235,4.969441898,-0.00404902,-0.353238213,0.988563963,38.67988012,0.797261787,5.815940023,33.12218951,31.5081642,120.4018057,11.89245248
1570519680,31.50812743,120.4017405,720.2996217,-0.272228123,-0.960182406,-36.81688351,47.94827881,-0.447423105,-0.01911904,55.31913018,0.0553987,-0.691388767,0.810403444,5.615959784,29.97952276,50.17505976,5.399529656,0.001147078,-0.272228123,0.960182406,42.58427721,0.878271877,5.787558466,37.0265866,31.50816875,120.4018019,11.87910264
1570519680,31.50813142,120.4017366,720.3339992,0.04868307,-0.861336978,-40.45121671,48.39068389,-0.812201143,-0.01971565,55.80226255,0.494997689,-0.676834884,0.733637226,5.601275343,33.62947125,50.57856882,5.806918542,0.001743688,0.04868307,0.861336978,46.2186104,1.19918307,5.688713038,40.66091979,31.50817348,120.4017978,11.89366057
1570519680,31.50813525,120.4017321,718.7640948,-0.148342997,-0.728794466,-44.36790744,48.81534821,-1.243475145,0.007687669,56.24648389,0.951557455,-0.681635182,1.122658642,5.549758394,37.47754391,50.95774475,6.278684024,-0.02565963,-0.148342997,0.728794466,50.13530113,1.002157003,5.556170526,44.57761052,31.50817788,120.4017935,11.88886406
1570519681,31.50813887,120.4017271,719.2396498,-0.574662177,-0.761351535,-48.47152812,49.21672836,-1.718446489,-0.000609125,56.64872005,1.446792295,-0.68743868,1.054859695,5.425058173,41.42485644,51.30936322,6.791585823,-0.017362837,-0.574662177,0.761351535,54.23892181,0.575837823,5.588727595,48.6812312,31.50818194,120.4017887,11.88306406
1570519681,31.50814202,120.4017222,719.5375879,-0.634322851,-0.631508533,-52.40913762,49.56599563,-2.182018494,-0.005806266,56.99269582,1.967969053,-0.692883504,0.677708136,5.344603085,45.28873618,51.61027812,7.287909159,-0.012165695,-0.634322851,0.631508533,58.17653131,0.516177149,5.458884593,52.6188407,31.5081855,120.4017836,11.87762231
1570519681,31.5081449,120.4017172,719.8183372,-0.428289647,-0.462805962,-56.24974869,49.88532574,-2.656039847,-0.010703587,57.32648529,2.514249682,-0.690360762,0.486631294,5.289960362,49.22725298,51.88035734,7.79162056,-0.007268375,-0.428289647,0.462805962,62.01714238,0.722210353,5.290182022,56.45945177,31.50818899,120.4017783,11.8801481
1570519681,31.5081474,120.401712,720.1964893,-0.565784519,-0.578360296,-60.03983261,50.16252208,-3.149060038,-0.01730118,57.56792311,3.031434971,-0.672359325,0.765392971,5.173694754,53.11329734,52.10660687,8.3100006,-0.000670781,-0.565784519,0.578360296,65.8072263,0.584715481,5.405736356,60.24953569,31.50819162,120.4017731,11.89815184
1570519681,31.50814985,120.4017066,718.6781512,-0.432687002,-0.497952429,-63.67483624,50.43417426,-3.667728639,0.009201248,57.82450622,3.591793441,-0.667911806,0.656211975,5.242111075,56.90278936,52.3247629,8.853342088,-0.027173209,-0.432687002,0.497952429,69.44222993,0.717812998,5.325328489,63.88453932,31.50819443,120.4017675,11.90260187
1570519682,31.50815176,120.4017014,719.0677625,-0.372723767,-0.246604088,-66.98521038,50.64595236,-4.164548574,0.002403237,58.00481328,4.137643308,-0.690897614,0.684748247,5.175073973,60.52768552,52.4855435,9.368928752,-0.020375198,-0.372723767,0.246604088,72.75260407,0.777776233,5.073980148,67.19491346,31.50819654,120.401762,11.87961796
