time,ins1000_lat,ins1000_lon,ins1000_alt,ins1000_roll,ins1000_pitch,ins1000_yaw,ins1000_ned_x,ins1000_ned_y,ins1000_ned_z,algo_pose_x,algo_pose_y,algo_pose_z,algo_roll,algo_pitch,algo_yaw,algo_vel_x,algo_vel_y,algo_vel_z,align_pose_x,align_pose_y,align_pose_z,align_roll,align_pitch,align_yaw,align_roll_by_manual,align_pitch_by_manual,align_yaw_by_manual,align_vel_x,align_vel_y,align_vel_z,algo_lat,algo_lon,algo_alt
1571105794,31.50972472,120.4059556,730.4295155,1.021633118,0.817526214,-42.68894622,160.3902647,375.4053595,-0.257737615,-196.3758222,334.7122205,-1.339395146,0.770799742,-1.528335,-138.4407036,14.89291805,0.285970089,-0.46051637,-186.8239304,362.3738372,0.269597929,1.021633118,-0.817526214,-133.0179358,,,,14.04911102,-0.193886851,-0.223054804,31.50982931,120.4056727,11.13818681
1571105794,31.50973795,120.4059417,730.2404395,0.969558373,0.857462201,-42.57623307,161.8571397,374.0896581,-0.254477645,-197.8252501,333.385627,-1.350597328,0.774493061,-1.570475386,-138.5515849,14.90884481,0.290694925,-0.517573574,-188.1881975,360.9520187,0.266337958,0.969558373,-0.857462201,-133.130649,,,,14.10489396,-0.174281681,-0.225888368,31.50984324,120.4056599,11.12696045
1571105794,31.50975028,120.4059288,730.0800113,0.867323101,0.742358641,-42.42893812,163.2242275,372.8651535,-0.251714304,-199.311828,332.0213254,-1.368279276,0.630499112,-1.447984896,-138.6986687,14.95174391,0.291860607,-0.485162769,-189.4597843,359.6286112,0.263574617,0.867323101,-0.742358641,-133.2779439,,,,14.11958049,-0.164872442,-0.217284329,31.50985753,120.4056468,11.10925414
1571105794,31.5097636,120.405915,729.730507,0.823848144,0.760879376,-42.28429758,164.7010818,371.5504022,-0.245652842,-200.8208105,330.6165223,-1.38958221,0.593501962,-1.463763196,-138.8868854,15.01668659,0.315180752,-0.484705099,-190.8340739,358.2069931,0.257513156,0.823848144,-0.760879376,-133.4225845,,,,14.13284454,-0.187089742,-0.234831716,31.50987205,120.4056332,11.0879261
1571105795,31.50977657,120.4059026,726.825611,0.87907073,0.842141917,-42.13438197,166.1391324,370.3705396,-0.194983956,-202.292914,329.3220305,-1.3906915,0.670394135,-1.501727562,-139.019102,15.01408279,0.275002765,-0.458920506,-192.1797663,356.9227901,0.206844269,0.87907073,-0.842141917,-133.5725001,,,,14.14311155,-0.211088898,-0.240086074,31.50988617,120.4056208,11.08679688
1571105795,31.50979003,120.4058888,726.5906983,0.955082213,0.869726037,-41.98878342,167.6315103,369.062438,-0.190920509,-203.7914719,327.9848072,-1.403815304,0.73742584,-1.552066851,-139.1803734,15.0509572,0.26627125,-0.536104311,-193.5700337,355.506641,0.202780823,0.955082213,-0.869726037,-133.7180986,,,,14.20182199,-0.21374605,-0.24847017,31.50990055,120.4056079,11.07365241
1571105795,31.50980162,120.405877,726.3901631,0.95479379,0.647313985,-41.85242489,168.9165522,367.9405297,-0.187451231,-205.2911358,326.6411153,-1.422268528,0.765593417,-1.341928458,-139.3364196,15.05719999,0.284126203,-0.46394313,-194.767485,354.2916837,0.199311544,0.95479379,-0.647313985,-133.8544572,,,,14.20825139,-0.184909732,-0.202878068,31.50991494,120.405595,11.05517885
1571105795,31.50981514,120.4058632,725.8057461,0.878915614,0.75133536,-41.67102433,170.4155831,366.6343281,-0.177286345,-206.7782609,325.3162088,-1.431115053,0.695410543,-1.466019703,-139.5117114,15.06078528,0.274672576,-0.454287277,-196.1645289,352.8769313,0.189146658,0.878915614,-0.75133536,-134.0358577,,,,14.20749524,-0.183748122,-0.254534955,31.50992921,120.4055823,11.04631318
1571105795,31.50982774,120.4058505,725.4390531,0.81371491,0.957611757,-41.48487308,171.8126094,365.4250231,-0.170918053,-208.2765511,323.9772001,-1.434399903,0.609606859,-1.673639339,-139.7065371,15.08358356,0.28258597,-0.472054775,-197.467108,351.5664396,0.182778366,0.81371491,-0.957611757,-134.222009,,,,14.22664067,-0.184668647,-0.265807294,31.50994359,120.4055694,11.04300946
1571105795,31.50984043,120.4058378,725.3817574,0.823433347,0.934768252,-41.2891292,173.2196151,364.2176183,-0.169948842,-209.7939487,322.6459724,-1.442182053,0.66292463,-1.647996284,-139.9241811,15.11386433,0.28733038,-0.521261741,-198.7797808,350.2570956,0.181809155,0.823433347,-0.934768252,-134.4177528,,,,14.28591633,-0.205051491,-0.22206735,31.50995814,120.4055566,11.03521011
1571105795,31.50985419,120.4058242,725.278625,0.987433249,0.761460407,-41.06797368,174.7452578,362.9218665,-0.168180854,-211.3148103,321.3282649,-1.453768504,0.776075684,-1.486202574,-140.1501652,15.11839335,0.266030184,-0.492973049,-200.2041442,348.8507715,0.180041168,0.987433249,-0.761460407,-134.6389084,,,,14.2901469,-0.19764718,-0.221957121,31.5099727,120.405544,11.02360788
1571105795,31.50986753,120.405812,723.1243037,1.030533307,0.811872841,-40.86067184,176.2243358,361.7705033,-0.130605348,-212.8421504,320.0197399,-1.460367276,0.825990985,-1.532544446,-140.3745902,15.12431411,0.283388703,-0.444157431,-201.5928822,347.5919167,0.142465661,1.030533307,-0.811872841,-134.8462102,,,,14.26155178,-0.207702087,-0.255509126,31.50998732,120.4055315,11.01699465
1571105796,31.50988036,120.4057995,722.7518811,0.952021635,0.926989897,-40.65369666,177.6468652,360.5763976,-0.124133285,-214.4129296,318.658882,-1.477521399,0.691886351,-1.663157499,-140.5890826,15.18808196,0.307310722,-0.497162821,-202.9220307,346.2946724,0.135993598,0.952021635,-0.926989897,-135.0531854,,,,14.29407247,-0.180156268,-0.257730451,31.51000237,120.4055184,10.99982557
1571105796,31.50989425,120.405786,722.6086416,0.854265992,0.863955692,-40.42290157,179.1869229,359.2920455,-0.121662446,-215.8754551,317.4404285,-1.470419953,0.663646847,-1.623636063,-140.8142478,15.10614183,0.30126913,-0.496392745,-204.361622,344.8986369,0.133522759,0.854265992,-0.863955692,-135.2839805,,,,14.32967019,-0.183082586,-0.235990817,31.51001635,120.4055068,11.00691611
1571105796,31.5099072,120.4057735,722.4023768,0.846029438,0.822341844,-40.22744077,180.6227584,358.1055395,-0.118088451,-217.3986133,316.1503061,-1.475982831,0.617136658,-1.582476925,-141.0241434,15.0987781,0.278699289,-0.470721367,-205.7046081,343.607975,0.129948765,0.846029438,-0.822341844,-135.4794413,,,,14.3324953,-0.21320944,-0.239904167,31.51003092,120.4054944,11.00134144
1571105796,31.50992021,120.405761,722.0700613,0.871771557,0.854320896,-40.04195553,182.0652469,356.9247331,-0.112313403,-218.8632836,314.938202,-1.470696014,0.630380602,-1.688087874,-141.2493418,15.03094365,0.283576866,-0.481467642,-207.0546552,342.3224986,0.124173716,0.871771557,-0.854320896,-135.6649265,,,,14.33743297,-0.211437406,-0.253414321,31.51004491,120.4054829,11.00661891
