time,ins1000_lon,ins1000_lat,ins1000_alt,ins1000_roll,ins1000_pitch,ins1000_yaw,ins1000_ned_x,ins1000_ned_y,ins1000_ned_z,algo_pose_x,algo_pose_y,algo_pose_z,algo_roll,algo_pitch,algo_yaw,algo_vel_x,algo_vel_y,algo_vel_z,align_pose_x,align_pose_y,align_pose_z,align_roll,align_pitch,align_yaw,align_vel_x,align_vel_y,align_vel_z,algo_lon,algo_lat,algo_alt
1571103879,120.4016023,31.50816363,725.9146081,0.628661037,1.471625135,-90.89956256,52.4089295,-14.09524751,0.071031739,47.76020423,14.8404645,1.070620538,0.762102414,-2.009098977,88.75026661,3.121294128,0.080445635,-0.092340692,53.29308988,14.65709128,-0.028271783,0.628661037,-1.471625135,91.52382819,3.026528882,-0.016837029,-0.038157158,120.4015997,31.50811375,13.76844965
1571103879,120.4015982,31.50816356,726.1781687,0.514289713,1.568128001,-90.90863823,52.40116858,-14.48567392,0.066432548,47.76182546,15.24580163,1.075538243,0.665050171,-2.048085874,88.77690912,3.063907821,0.076817837,-0.05446686,53.28107562,15.04740996,-0.023672593,0.514289713,-1.568128001,91.53290385,2.975527946,0.011866392,-0.049654115,120.4015955,31.5081138,13.77336832
1571103880,120.4015929,31.50816347,724.2644897,0.427171871,1.866178463,-90.64136145,52.39118996,-14.9891434,0.099833629,47.76249841,15.65047915,1.088880311,0.686028774,-2.36071766,88.79293221,3.107415747,0.088925237,-0.014464643,53.26561215,15.55074084,-0.057073673,0.427171871,-1.866178463,91.26562707,3.077471486,0.041134893,-0.056156337,120.4015912,31.50811385,13.78671138
1571103880,120.4015886,31.50816337,724.8087996,0.322573952,1.744097326,-90.63526018,52.38010278,-15.39381897,0.0903345,47.75837683,16.06985105,1.095179967,0.549598579,-2.334791528,88.79541161,3.159269075,0.093522778,-0.150702889,53.25011658,15.95527158,-0.047574545,0.322573952,-1.744097326,91.2595258,3.142184067,0.039481353,-0.016764276,120.4015868,31.50811385,13.79301205
1571103880,120.4015843,31.5081633,725.169763,0.290249915,1.565763093,-90.70102948,52.37234195,-15.80324423,0.084035436,47.75115526,16.50411688,1.090698976,0.427287092,-2.122035354,88.8473119,3.204667398,0.062026507,-0.120167034,53.23789541,16.36458799,-0.04127548,0.290249915,-1.565763093,91.3252951,3.166073829,-0.01289701,-0.06917222,120.4015822,31.50811383,13.78853211
1571103880,120.4015796,31.50816329,725.3817574,0.52523959,1.526689186,-90.7223579,52.37123389,-16.25066718,0.080336551,47.75003616,16.94131857,1.089701475,0.634491334,-2.0984418,88.90276917,3.25892185,0.065369195,-0.130731571,53.23191262,16.81197231,-0.037576595,0.52523959,-1.526689186,91.34662353,3.215816442,-0.026141342,-0.043155289,120.4015776,31.50811387,13.78753575
1571103880,120.4015752,31.50816327,725.6739658,0.776583151,1.487926637,-90.72732471,52.36901703,-16.67434158,0.075237624,47.75175093,17.38209082,1.089982718,0.893031474,-2.015035739,88.92041046,3.339516521,0.056816378,-0.114464233,53.22507984,17.23559741,-0.032477669,0.776583151,-1.487926637,91.35159033,3.303321868,-0.045911327,-0.056577268,120.401573,31.50811392,13.78781819
1571103880,120.4015706,31.50816322,726.0005518,0.84141202,1.456044765,-90.74292338,52.36347386,-17.10846535,0.069538727,47.74824259,17.8383032,1.092302469,1.083875027,-2.00821313,88.93925084,3.426731395,0.103610293,-0.098277105,53.2148071,17.66963502,-0.026778772,0.84141202,-1.456044765,91.367189,3.374448057,0.037058765,-0.020597759,120.4015682,31.50811394,13.79013917
1571103880,120.4015655,31.50816311,726.5047546,0.711793015,1.358242304,-90.79379641,52.3512781,-17.58723644,0.060739929,47.7402284,18.3015012,1.093878096,0.942801279,-1.933936343,88.98097247,3.505039684,0.128551123,-0.094222156,53.19739572,18.14824481,-0.017979974,0.711793015,-1.358242304,91.41806203,3.470709752,0.033617097,-0.032897529,120.4015633,31.50811391,13.79171605
1571103880,120.4015608,31.50816304,726.7740448,0.719222236,1.399028079,-90.82586479,52.34351742,-18.04225895,0.056041134,47.73312901,18.77804337,1.09686285,0.877007547,-1.954299701,89.04224662,3.598643251,0.09169181,-0.093022444,53.18467791,18.60315576,-0.013281178,0.719222236,-1.399028079,91.45013041,3.520981398,-0.003763015,-0.048636644,120.4015583,31.50811389,13.79470214
1571103881,120.4015543,31.50816295,725.1525743,0.697033855,1.567558268,-90.58201512,52.33353921,-18.65497183,0.084342813,47.72743863,19.26274185,1.104059717,0.903134986,-2.075520405,89.0860834,3.671050235,0.109335872,-0.054254996,53.16802461,19.21572356,-0.041582858,0.697033855,-1.567558268,91.20628074,3.637538966,0.044040161,-0.090783455,120.4015532,31.50811389,13.80190041
1571103881,120.4015493,31.50816283,725.3301912,0.492914042,1.704434124,-90.64098633,52.32023469,-19.13469285,0.081244124,47.718067,19.7556066,1.113071024,0.722010603,-2.271937423,89.15168655,3.760051537,0.141372766,-0.101252645,53.14949419,19.69527115,-0.038484168,0.492914042,-1.704434124,91.26525195,3.736911387,0.052771388,-0.083643083,120.401548,31.50811385,13.81091315
1571103881,120.4015441,31.50816275,725.4963489,0.490800185,1.769774469,-90.75419075,52.31136535,-19.62676312,0.078345544,47.70722775,20.2619517,1.118428528,0.694935917,-2.360747757,89.26425833,3.844219874,0.125766983,-0.132349348,53.13526414,20.18721558,-0.035585588,0.490800185,-1.769774469,91.37845637,3.850013294,0.022205333,-0.083034581,120.4015427,31.50811381,13.81627217
1571103881,120.4015387,31.50816264,725.8401236,0.402328778,1.66381335,-90.75592917,52.29916974,-20.13308254,0.07234702,47.70126791,20.78084071,1.119597879,0.605233219,-2.273159404,89.30031094,3.941675474,0.110010756,-0.146572193,53.11755276,20.69337207,-0.029587065,0.402328778,-1.66381335,91.38019479,3.919069145,0.054224389,-0.067400613,120.4015372,31.5081138,13.81744314
1571103881,120.4015329,31.50816254,726.1838983,0.368612937,1.647711096,-90.85371458,52.28808302,-20.68499921,0.066348694,47.69080216,21.30916746,1.125528882,0.550896006,-2.255555668,89.36956319,3.991999078,0.143771382,-0.105802796,53.10045342,21.24513519,-0.023588738,0.368612937,-1.647711096,91.4779802,3.979481714,0.004161231,-0.068682677,120.4015316,31.50811376,13.82337581
1571103881,120.4015274,31.50816246,726.6193462,0.44233826,1.542895955,-90.85305893,52.27921386,-21.20651772,0.058750332,47.68320802,21.84595676,1.13308981,0.576723403,-2.164565672,89.41279339,4.050224841,0.070505123,-0.138076278,53.08590269,21.76652611,-0.015990376,0.44233826,-1.542895955,91.47732456,4.030882338,0.024291151,-0.051940801,120.401526,31.50811374,13.8309385
1571103881,120.4015219,31.50816232,726.9974984,0.224170524,1.43601695,-90.86424848,52.26369201,-21.7337359,0.052151977,47.67272032,22.39013728,1.135388485,0.463308272,-2.077020986,89.39630225,4.097719283,0.144299495,-0.128079175,53.06463758,22.29354388,-0.009392022,0.224170524,-1.43601695,91.48851411,4.081074324,0.060879287,-0.06783411,120.4015203,31.5081137,13.83323898
1571103882,120.4015146,31.50816193,727.5303491,0.016375037,1.385749873,-90.6561781,52.22045097,-22.43004392,0.042854029,47.660821,22.93931293,1.137566401,0.285061851,-2.030917826,89.40822841,4.128935681,0.123174282,-0.10830567,53.01381264,22.98933945,-9.41E-05,0.016375037,-1.385749873,91.28044372,4.120776987,0.079796456,-0.054293655,120.4015145,31.50811365,13.83541876
1571103882,120.4015085,31.50816182,727.9027717,0.106183316,1.410510167,-90.59024301,52.20825565,-23.01045888,0.036355996,47.65470966,23.48553424,1.143555691,0.254154538,-2.059297368,89.32981905,4.140630107,0.066702154,-0.108430488,52.99529427,23.56958709,0.00640396,0.106183316,-1.410510167,91.21450863,4.179368641,0.014751126,-0.051720589,120.4015087,31.50811365,13.84140999
1571103882,120.4015031,31.50816175,728.2465463,0.146876983,1.305404757,-90.62228988,52.20049534,-23.51487842,0.030357769,47.65075893,24.04118532,1.143497225,0.348371244,-2.002721888,89.34253119,4.203102454,0.097716885,-0.156352499,52.98203862,24.07389214,0.012402186,0.146876983,-1.305404757,91.2465555,4.212995341,0.034319047,-0.049279848,120.4015029,31.50811367,13.84135357
1571103882,120.4014974,31.50816165,728.5444844,0.23676713,1.232883736,-90.58900257,52.18940878,-24.06109545,0.025159714,47.64732974,24.60132814,1.14084239,0.483447685,-1.864917617,89.31789916,4.178694601,0.104590911,-0.11708474,52.96500154,24.61995595,0.017600242,0.23676713,-1.232883736,91.21326819,4.206739274,0.057754923,-0.049163537,120.401497,31.50811369,13.83870084
1571103882,120.4014912,31.5081615,728.808045,0.066469043,1.288723973,-90.57459593,52.17277843,-24.6500599,0.020561825,47.63974934,25.16943144,1.143176091,0.356586709,-1.886558314,89.29505916,4.215823679,0.131340573,-0.091683263,52.94195524,25.20870426,0.022198131,0.066469043,-1.288723973,91.19886155,4.207806524,0.075241299,-0.054537106,120.401491,31.50811368,13.84103671
1571103882,120.4014854,31.50816135,729.2320338,-0.087837989,1.247395573,-90.62491936,52.15614803,-25.19817684,0.013163828,47.62685111,25.72658889,1.145929103,0.181972671,-1.933525916,89.34874732,4.217037818,0.146630908,-0.107014614,52.91935395,25.75660747,0.029596128,-0.087837989,-1.247395573,91.24918498,4.218154578,0.062542844,-0.0264373,120.4014851,31.50811362,13.84379184
1571103882,120.4014792,31.50816128,729.5929972,0.130663912,1.272918994,-90.63871812,52.14838804,-25.78999111,0.006866127,47.6209282,26.29355285,1.148776679,0.316039065,-1.9128636,89.36508202,4.228188071,0.079691646,-0.122369193,52.90514644,26.34830206,0.035893828,0.130663912,-1.272918994,91.26298375,4.234098231,0.00963974,-0.068398681,120.4014792,31.50811362,13.84664169
1571103882,120.4014734,31.50816117,729.7476958,0.122706028,1.313358342,-90.6063502,52.13619281,-26.33905796,0.004168269,47.6202178,26.86362334,1.151111916,0.377865294,-1.943119135,89.36752762,4.235440112,0.10438734,-0.125022362,52.8869697,26.89720346,0.038591687,0.122706028,-1.313358342,91.23061582,4.225187025,0.052043782,-0.066071999,120.4014732,31.50811367,13.84897929
1571103883,120.4014665,31.50816085,728.7793971,0.231064364,1.191889741,-90.37845946,52.10071325,-26.99831813,0.021070732,47.61666513,27.44102169,1.152311995,0.495606776,-1.877855,89.36956108,4.26521232,0.09588603,-0.163780187,52.84430942,27.55603794,0.021689224,0.231064364,-1.191889741,91.00272508,4.293349897,0.069620811,-0.054798551,120.4014671,31.50811369,13.8501818
1571103883,120.4014602,31.50816069,729.1174422,0.175006063,1.102574064,-90.33863805,52.08297431,-27.59773197,0.015173149,47.61163385,28.0163156,1.148015828,0.447322223,-1.770502903,89.38269192,4.264888437,0.08222465,-0.126309451,52.82004076,28.15522293,0.027586806,0.175006063,-1.102574064,90.96290367,4.278509611,0.113698615,-0.038283109,120.401461,31.50811371,13.8458881
1571103883,120.4014543,31.50816051,729.4841352,-0.043551238,0.996497181,-90.34882808,52.06301773,-28.15439841,0.008775416,47.60303209,28.59534286,1.143561848,0.308465195,-1.674531351,89.35625986,4.279444582,0.15053136,-0.124844486,52.79402033,28.71163889,0.033984539,-0.043551238,-0.996497181,90.97309371,4.273222106,0.116513039,-0.035133576,120.4014549,31.50811368,13.84143662
1571103883,120.4014485,31.50816038,729.7247775,-0.027921947,1.11006975,-90.37300369,52.04860508,-28.70726506,0.00457776,47.59279229,29.17178044,1.144253462,0.246957708,-1.727809103,89.40100586,4.255073584,0.079233203,-0.079134757,52.7735849,29.26431569,0.038182196,-0.027921947,-1.11006975,90.99726931,4.252252201,0.074137581,-0.037050397,120.4014489,31.50811365,13.84213077
1571103883,120.4014427,31.50816028,730.0227155,0.117872323,1.110474334,-90.37972062,52.03751881,-29.26108164,-0.000619816,47.58721412,29.7425857,1.147272625,0.365146526,-1.78647492,89.40145665,4.281783149,0.08732899,-0.122516897,52.75646531,29.81797862,0.043379771,0.117872323,-1.110474334,91.00398624,4.257723582,0.042847353,-0.064816062,120.4014429,31.50811365,13.84515253
1571103883,120.4014364,31.50816014,730.1487662,0.157875707,1.167381434,-90.41166813,52.02199754,-29.8566957,-0.002817185,47.5832615,30.31514309,1.148289221,0.536656087,-1.839627432,89.46634616,4.260980795,0.117652761,-0.144824452,52.73445557,30.41338822,0.04557714,0.157875707,-1.167381434,91.03593375,4.251566722,0.131909144,-0.053092804,120.4014368,31.50811368,13.84617179
1571103883,120.4014306,31.50815996,730.3951381,0.085187525,1.191404914,-90.37997722,52.00204105,-30.40861243,-0.007114744,47.57364765,30.8774355,1.1493285,0.413824622,-1.84363361,89.44622946,4.249594261,0.113137842,-0.106544956,52.70848698,30.96505475,0.049874699,0.085187525,-1.191404914,91.00424284,4.244204389,0.121559272,-0.063341824,120.4014309,31.50811364,13.84721369
1571103884,120.4014238,31.50815957,730.8191268,0.038811405,1.207459271,-90.16164945,51.9588004,-31.05172373,-0.014512001,47.56417003,31.43262615,1.155003945,0.325176445,-1.931256084,89.45870786,4.228319201,0.081336074,-0.117462865,52.65824203,31.60765676,0.057271956,0.038811405,-1.207459271,90.78591507,4.256214818,0.104276017,-0.025765774,120.4014251,31.50811361,13.85289178
1571103884,120.4014175,31.50815944,731.3519776,0.257875207,1.086107692,-90.15152197,51.94438807,-31.64733783,-0.023809195,47.5609837,31.98617737,1.157972026,0.529549753,-1.877018985,89.45146421,4.203253991,0.055660586,-0.138603937,52.63734118,32.20307848,0.06656915,0.257875207,-1.086107692,90.77578759,4.243313717,0.121415075,-0.03668542,120.4014192,31.50811364,13.85586259
1571103884,120.4014117,31.50815923,731.6155382,0.144672834,1.053584375,-90.12831663,51.92110532,-32.19640475,-0.028406639,47.55328778,32.53682362,1.156417539,0.519862909,-1.790273606,89.43522685,4.152063216,0.133225849,-0.123050441,52.60807757,32.75185914,0.071166595,0.144672834,-1.053584375,90.75258225,4.199414349,0.191480111,-0.045907963,120.4014134,31.50811362,13.85431083
1571103884,120.4014056,31.50815899,731.9535833,-0.025490473,1.110044535,-90.12179937,51.89449636,-32.78251945,-0.034303874,47.53706958,33.08728541,1.156840935,0.253802897,-1.868322536,89.41311921,4.137997915,0.109369677,-0.107687466,52.57508431,33.33764914,0.077063829,-0.025490473,-1.110044535,90.74606499,4.174016336,0.132140447,-0.028708663,120.4014076,31.50811353,13.85473694
1571103884,120.4013999,31.50815888,732.3546537,0.233922672,1.094172959,-90.11120741,51.88230151,-33.32398681,-0.04130117,47.52946298,33.63395344,1.158940869,0.454028687,-1.869251535,89.40055951,4.097126867,0.059025555,-0.122701473,52.55699075,33.8789515,0.084061125,0.233922672,-1.094172959,90.73547303,4.148032871,0.079245196,-0.025738224,120.4014019,31.50811352,13.85683967
1571103884,120.4013942,31.50815876,732.8244791,0.444845315,1.142832079,-90.0847016,51.86899789,-33.86070448,-0.049498455,47.52494269,34.17372598,1.163546164,0.67078249,-1.881370813,89.37481093,4.055065188,0.074934846,-0.081137592,52.53784023,34.41549236,0.09225841,0.444845315,-1.142832079,90.70896722,4.122301671,0.117470491,-0.030837645,120.4013962,31.50811353,13.8614478
1571103884,120.4013886,31.50815858,733.0536622,0.453262774,1.167021542,-90.05210799,51.84904155,-34.39457231,-0.053495763,47.51929761,34.70280129,1.16455485,0.796631565,-1.931333993,89.33957526,4.019253857,0.119797007,-0.131412163,52.51206844,34.94911108,0.096255719,0.453262774,-1.167021542,90.67637362,4.090035567,0.205367903,-0.065541533,120.4013906,31.50811353,13.8624593
1571103884,120.4013826,31.50815832,733.3859778,0.218730706,1.288373235,-90.00564409,51.82021509,-34.96453801,-0.059292904,47.510531,35.2176598,1.169300676,0.593208217,-2.026998418,89.26082085,3.950575504,0.12892503,-0.090090253,52.47703376,35.51872887,0.102052859,0.218730706,-1.288373235,90.62990971,4.056487556,0.169088059,-0.029761014,120.4013852,31.5081135,13.86720788
1571103885,120.4013762,31.50815843,731.4321917,0.390143442,1.23127106,-89.89046221,51.83241351,-35.57250106,-0.025189444,47.50359498,35.73375861,1.175343673,0.562417828,-2.112553432,89.27744693,3.949819012,0.070879176,-0.133788599,52.48260752,36.12678874,0.067949399,0.390143442,-1.23127106,90.51472783,4.07742686,0.059706328,-0.042633367,120.4013798,31.50811349,13.8732537
1571103885,120.4013707,31.50815833,731.7415889,0.633915311,1.19827388,-89.82319745,51.82132751,-36.09876933,-0.03058658,47.50586912,36.25318121,1.174189373,0.966250012,-2.004749791,89.21463787,3.869901298,0.05188495,-0.110501717,52.46578835,36.65290499,0.073346536,0.633915311,-1.19827388,90.44746307,4.023245912,0.158559657,-0.023895884,120.4013743,31.50811356,13.87210234
1571103885,120.4013648,31.50815811,732.2572509,0.553349358,1.181952521,-89.77549792,51.79693628,-36.65733573,-0.039583597,47.50279031,36.77240821,1.179933534,0.910431792,-2.025827669,89.16044555,3.841290602,0.127144653,-0.089737427,52.43531283,37.21117248,0.082343552,0.553349358,-1.181952521,90.39976354,3.928430741,0.183865652,-0.055723486,120.4013688,31.50811358,13.87784945
1571103885,120.4013595,31.50815794,732.446327,0.497212498,1.27112061,-89.73519191,51.77808876,-37.16460517,-0.042880817,47.49856529,37.29199677,1.185996413,0.791283851,-2.096462358,89.13779822,3.728821345,0.069644808,-0.129260495,52.41093959,37.71820647,0.085640772,0.497212498,-1.27112061,90.35945753,3.872821423,0.136828199,-0.043511857,120.4013634,31.5081136,13.88391532
1571103885,120.4013542,31.50815781,732.8989636,0.635266349,1.035215734,-89.64581127,51.76367641,-37.66142526,-0.050778023,47.50120911,37.80329625,1.184330373,0.983502078,-1.917974001,89.04936283,3.645976512,0.049257501,-0.141069139,52.39111511,38.21484004,0.093537978,0.635266349,-1.035215734,90.27007689,3.767954134,0.1580878,-0.010330197,120.401358,31.50811367,13.8822523
1571103885,120.4013488,31.50815763,733.179713,0.62730996,1.02707727,-89.62164461,51.74372021,-38.17819415,-0.055675117,47.50110468,38.29757833,1.183672426,0.964517088,-1.811707864,89.02775678,3.528323325,0.101099314,-0.083718557,52.36552975,38.73136083,0.098435072,0.62730996,-1.02707727,90.24591023,3.584668141,0.164018008,-0.051961799,120.4013528,31.50811372,13.8815973
1571103885,120.4013439,31.50815743,733.4260848,0.474371172,1.19751741,-89.58176578,51.72154626,-38.63986638,-0.05997252,47.49935005,38.79608793,1.19269373,0.844705294,-1.979656554,89.01131026,3.441088383,0.078199979,-0.077253923,52.33832707,39.19276406,0.102732475,0.474371172,-1.19751741,90.2060314,3.530534341,0.214661569,-0.014365467,120.4013475,31.50811375,13.89062161
1571103886,120.4013381,31.50815768,730.790479,0.500108437,0.896199831,-89.25868039,51.74926758,-39.19653237,-0.013968901,47.49635622,39.27382752,1.190126135,0.814086611,-1.799083843,88.93068854,3.357018717,0.074580197,-0.143222613,52.35998171,39.74969905,0.056728857,0.500108437,-0.896199831,89.88294601,3.449505596,0.149237168,-0.012358146,120.4013425,31.50811377,13.88805691
1571103886,120.4013334,31.50815756,731.0024733,0.653396365,0.887564311,-89.33856269,51.73596386,-39.63635588,-0.017666292,47.49568692,39.73993649,1.18645711,0.908246962,-1.66465435,89.00843396,3.278848529,0.075840178,-0.06616893,52.34188678,40.1893515,0.060426248,0.653396365,-0.887564311,89.96282831,3.309526001,0.145360025,-0.040930562,120.4013376,31.50811381,13.88439076
