time,ins1000_lat,ins1000_lon,ins1000_alt,ins1000_roll,ins1000_pitch,ins1000_yaw,ins1000_ned_x,ins1000_ned_y,ins1000_ned_z,algo_pose_x,algo_pose_y,algo_pose_z,algo_roll,algo_pitch,algo_yaw
1570519629.704,31.50786688,120.40118995999998,731.884828344211,-1.015707184576629,-1.172572367711471,179.5863647804882,19.059031297330552,-52.743827522769976,-0.2212535292657467,14.6910533275,51.8053424495,-0.0965530843372,0.038613671227572706,5.802853614778772,179.25786699897787
1570519629.904,31.507860770000004,120.40118959,731.8962875001135,-0.843196802899727,-1.046722625772306,179.46907251836774,18.381564102852828,-52.77897894223578,-0.22145523572901915,14.0566575713,51.7709289996,-0.0983996489917,0.022954613229353264,5.614426619251092,179.38763142686344
1570519630.103,31.507854320000003,120.40118926,731.9306649678214,-0.8317867357451691,-0.898278776867563,179.3876706737566,17.666398216766176,-52.81033077868903,-0.22205700456109412,13.4328995898,51.7472762561,-0.0982259151972,0.24884675494989206,5.533054009880787,179.5393504544538
1570519630.303,31.50784817,120.40118891,732.0509861047989,-0.7413402547419102,-0.691370571638588,179.40854297473956,16.984495880124054,-52.84358235484633,-0.2241585896423688,12.8028554464,51.7183244883,-0.0960803687059,0.31838952392240216,5.350938268471418,179.66520499500115
1570519630.503,31.5078416,120.40118853,730.2003324265264,-0.7968646504916844,-0.8985744594400495,179.31863935134106,16.25602451991974,-52.87968372492377,-0.1918601966061022,12.1833668374,51.6941511309,-0.0907921010782,0.4353999667402703,5.221902537456513,179.67417504479545
1570519630.703,31.50783564,120.40118823000002,730.1774141147212,-0.8308800238626824,-0.9447023848882118,179.30778066356018,15.595189065245455,-52.9081854524853,-0.19146161652099458,11.5538706755,51.6685095068,-0.0943352191109,0.41581751325547395,5.282494943817595,179.64333339687215
1570519630.903,31.50782899,120.40118789999998,730.3149239855525,-0.7945099925721271,-1.3225212155193369,179.33302001844368,14.857847497947285,-52.939537437271795,-0.19386312424158447,10.9170964944,51.6397730522,-0.0985380229252,0.3517766432791572,5.338517792899507,179.65931918879804
1570519631.103,31.50782266,120.40118757,730.3091944076012,-0.7247226656518568,-1.3797882295030133,179.27527733434815,14.155987030217954,-52.970889220730236,-0.19376446666969382,10.2642083339,51.6105377437,-0.101287492141,0.3517441584680394,5.628521053255809,179.68708958060085
1570519631.303,31.50781664,120.40118724,730.1888732706237,-0.5769809526072391,-1.1611371965510864,179.2609377424298,13.48849888215213,-53.0022408185241,-0.19166565765995003,9.61171566741,51.5819629187,-0.106853662452,0.3630820330032045,5.8347911734233255,179.7154799979675
1570519631.503,31.50781058,120.40118695000001,730.2289803162829,-0.839521634543697,-1.1636140298241877,179.1604783654563,12.816575581883875,-53.02979268118264,-0.1923668214091041,8.95901109861,51.5584001065,-0.113852843336,0.5549879951801513,5.653215343328195,179.73764487321105
1570519631.703,31.50780354,120.40118671,730.0513633997923,-1.2082166399690555,-0.8346021308488479,179.1034550095128,12.035991365196809,-53.05259533915779,-0.18926815878295855,8.30782007058,51.5221217372,-0.110473178407,0.3854220920944713,5.585878767378649,179.68391716800468
1570519631.903,31.50779703,120.40118634,730.2404394721856,-1.0478732532769421,-1.0037507863059805,179.26427005193875,11.314172805817739,-53.08774705599467,-0.19256919248523197,7.6549313537,51.4809614249,-0.110390873397,0.050680230327547884,5.247914353169619,179.7255246024182
1570519632.103,31.50779016,120.40118592999998,730.3894084989196,-0.9228982298236789,-1.1617011028711661,179.47072651082695,10.552438020078316,-53.1266987612412,-0.19517017947106652,6.99721625973,51.4575970343,-0.111837061031,0.06923070882003705,5.3294805959760545,179.58409462167575
1570519632.303,31.50778391,120.40118568,730.6300507728744,-1.2449136607559814,-1.2076770438034181,179.60055147157988,9.859447802387724,-53.15045099021542,-0.19937109484985083,6.33203780414,51.4459433775,-0.120694150635,0.44084567711342154,5.579087560676376,179.46791804411592
1570519632.502,31.507777060000002,120.40118505,731.1113353207844,-1.1096540099354972,-1.2279906944342467,179.81706706432718,9.09993070187652,-53.210301564792324,-0.2077717305021265,5.67049355752,51.4135374832,-0.118460114433,0.013443820915058703,5.528927418964889,179.2526126855577
1570519632.702,31.507770480000005,120.40118462,731.0712282751252,-1.0192755230074828,-1.0778304134453827,179.92936588866573,8.370350673851657,-53.25115298742468,-0.20707239405912414,5.01202616806,51.3984805626,-0.11709487291,0.061510995602739774,5.5816732854457065,179.08651127299285
1570519632.902,31.50776378,120.40118422,731.3004113931776,-1.0541938635234116,-1.3179982318581256,179.98920509384806,7.627465223381373,-53.28915468268998,-0.2110730112234509,4.34602798718,51.3879287605,-0.125307811863,0.19332865308836653,5.4550950597295635,179.00166399540785
